mpa_eff,Type.of.Zone,MPA.age,MPA.Size,NTZ.area,percent.fishers.primary,percent.fishers.p.t,diversity.primary.livelihoods,Attachment.Score,PercentProtein,PercentIncomeFish,harvest.rights,management.rights,num.local.threat,marine.group.percent,other.group.percent,decision.making.participation,rule.making.participation,groups.monitor.eco,groups.monitor.soc,groups.monitor.compliance,groups.enforcing.pens,clear.boundaries,user.spec.rules,govt.support,rules.match.eco,rules.match.soc,penatly.frequency,graduated.sanctions,penalties.match.offense
-1.041297857,USE,3,346189,81394,0.295254104,0.786504087,3.353908392,3.870832615,4.775748145,3.464295102,1.785395317,0.432171577,2.308897895,0.14489365,0.478189923,0.349198988,0.295913123,0.970358435,0.935257961,0.855694322,0.906798043,4.342895891,0.083605916,3.144750053,1.448048599,1.627326677,2.850190123,2.311661166,1.504039065
-1.477975635,USE,3,346189,81394,0.295254104,0.786504087,3.353908392,3.870832615,4.775748145,3.464295102,1.785395317,0.432171577,2.308897895,0.14489365,0.478189923,0.349198988,0.295913123,0.970358435,0.935257961,0.855694322,0.906798043,4.342895891,0.083605916,3.144750053,1.448048599,1.627326677,2.850190123,2.311661166,1.504039065
-0.148310688,USE,3,346189,81394,0.213559423,0.793135566,3.134640755,4.005281439,4.744800142,3.310515758,1.797160627,0.407526906,2.380841682,0.231527602,0.653587048,0.52444027,0.504376876,0.985500762,0.979013707,0.847762413,0.984293123,4.133130185,0.039962605,3.541620475,1.618804753,1.325451856,2.606324669,2.576404622,2.055454516
-1.497960191,USE,3,346189,81394,0.204930822,0.791176733,3.096858042,4.008440066,4.747265779,3.317420897,1.794738321,0.399079354,2.370238747,0.240270716,0.658937414,0.537302013,0.518809338,0.986744293,0.980674087,0.86626957,0.985441645,4.207866663,0.036438043,3.528794329,1.671318775,1.337607612,2.706960895,2.630757272,2.152700281
-0.656439138,NTZ,3,346189,81394,0.232961647,0.794075187,3.192555611,3.988275637,4.744696356,3.322918624,1.798169676,0.412543623,2.376855262,0.214689492,0.629437919,0.487569024,0.462678385,0.982288679,0.971979835,0.840782671,0.976204067,4.100948412,0.04830601,3.506229999,1.55025784,1.347037624,2.55430383,2.499595443,1.919064042
0.878456705,USE,3,346189,81394,0.242651359,0.795649235,3.231361381,3.981931832,4.742586677,3.320974074,1.800118861,0.420628299,2.384139864,0.204699896,0.62070175,0.472216493,0.44515425,0.980747739,0.969226215,0.825070733,0.973133621,4.04261771,0.052620158,3.50764651,1.500187732,1.343162208,2.470922281,2.446302375,1.819071742
-0.52975917,USE,3,346189,81394,0.286729761,0.790960439,3.33875896,3.901149985,4.761273661,3.417592365,1.792050453,0.432395356,2.335160417,0.156485558,0.517753434,0.375356931,0.329364348,0.972065161,0.942718221,0.840392132,0.926544273,4.217158194,0.076755801,3.254718191,1.425570799,1.533385505,2.682015303,2.312419103,1.532570336
-1.224589639,NTZ,3,346189,81394,0.291534561,0.795203145,3.342277807,3.898424514,4.761636948,3.418907796,1.795658937,0.435471287,2.337754548,0.15154362,0.513253312,0.37219958,0.325684845,0.970909047,0.939757,0.842659682,0.930849605,4.24008943,0.077628259,3.231973531,1.40690609,1.533637158,2.709009896,2.282099483,1.491521243
-0.580412759,NTZ,3,346189,81394,0.292927489,0.800862581,3.347044926,3.917241813,4.748746298,3.386083631,1.802890917,0.435912047,2.356896215,0.155029594,0.538079171,0.381215305,0.339488346,0.970817076,0.942503088,0.833779674,0.946415795,4.149463563,0.074369008,3.301779279,1.366088541,1.46109085,2.570785616,2.255714727,1.467554718
-1.068398088,USE,3,346189,81394,0.297127886,0.801343407,3.350798626,3.905377991,4.75258255,3.400146561,1.802369355,0.439095352,2.350870193,0.148541309,0.523383774,0.3726098,0.328566776,0.96967238,0.938231453,0.837817798,0.94109662,4.194806146,0.076538892,3.254080726,1.362139555,1.492190159,2.634968776,2.235593057,1.431125019
-1.093077042,USE,2,49451,14684,0.52417137,0.713087072,3.841132137,4.020289921,4.778036319,3.755654157,1.568678585,0.95006437,2.933186217,0.214828716,0.660099679,0.163678421,0.148546215,0.753744202,0.736419014,0.991979976,0.986464173,5.434903426,0.111111563,4.018717277,3.333112258,3.680154917,3.243006432,3.076065718,3.118093064
0.731237866,USE,4,353531,53615,0.350199091,0.856923701,4.428465262,4.009846203,4.337878832,3.294558095,1.476003538,1.130918586,2.148923725,0.184828363,0.895846053,0.79206354,0.782026256,0.923019905,0.923019905,0.923019905,0.075261498,7.249002776,0.251142679,3.687012815,1.147012907,1.082347216,1.232860152,5.188969875,3.284813917
1.038073536,NTZ,4,353531,53615,0.533593515,0.93612464,3.954281147,3.994371983,4.772520673,3.58419955,1.645360068,1.264082839,2.305220058,0.16242655,0.880605306,0.407503877,0.695517964,0.973288206,0.973288206,0.973288206,0.822055806,4.40762631,0.359019129,3.382383345,3.482647255,2.308353243,2.165288569,3.519931079,3.409564069
-1.485206179,USE,4,353531,53615,0.344773463,0.903646693,5.22964059,4.058599936,4.496323299,3.274348771,1.585313311,1.226310983,2.322004768,0.15856081,0.91118317,0.617908744,0.57002653,0.952503018,0.952503018,0.952503018,0.14254068,6.290896401,0.656862754,3.321684506,1.215062278,1.118716244,1.205647691,5.215252571,3.704009886
-0.185674519,USE,4,353531,53615,0.336157115,0.895509828,4.556225454,4.011278574,4.473131873,3.20300303,1.575889233,1.182965032,2.189009326,0.168601085,0.90440983,0.620128287,0.623171016,0.849601989,0.849601989,0.849601989,0.216691749,6.558468781,0.364231737,3.487784394,1.478362479,1.269775374,1.563676824,4.689628405,3.439601155
0.688693497,USE,4,353531,53615,0.386247067,0.895566152,4.55821526,4.019303306,4.514820634,3.32805515,1.570329902,1.211943148,2.246305452,0.177968435,0.897282948,0.628574647,0.663378766,0.925293052,0.925293052,0.925293052,0.321584225,6.206002474,0.39788835,3.486802161,1.79582532,1.44645384,1.56911834,4.648558986,3.459528964
1.336436301,NTZ,4,353531,53615,0.246189584,0.948582633,4.952164931,4.006641265,4.554413723,2.92408816,1.699611247,1.358683199,2.351545129,0.165787312,0.934762543,0.59674443,0.337214152,0.940545072,0.940545072,0.940545072,0.563435357,5.599782023,0.33879659,3.59435248,1.37893181,1.208697531,1.316253076,4.235950439,3.772663012
